point,area,type,months,total1,total2,monthly1,monthly2
國立彰化特殊教育學校幼兒部,社頭鄉,公立,10,34600,0,3460,0
彰化基督教醫院職工福利委員會附設彰化縣私立彰基幼兒園,彰化市,私立,12,143800,0,11983,0
彰化縣二林鎮立幼兒園,二林鎮,公立,10,43700,0,4370,0
彰化縣二林鎮興華國民小學附設幼兒園,二林鎮,公立,10,29000,0,2900,0
彰化縣二水鄉二水國民小學附設幼兒園,二水鄉,公立,8,28070,0,3509,0
彰化縣二水鄉立幼兒園,二水鄉,公立,10,38400,0,3840,0
彰化縣伸仁非營利幼兒園（委託社團法人大中華社會企業創新策略發展協會辦理）,伸港鄉,非營利,12,105096,0,8758,0
彰化縣伸港鄉立幼兒園,伸港鄉,公立,10,47600,8800,4760,880
彰化縣僑愛非營利幼兒園（委託社團法人彰化縣中華幼兒教保職涯發展協會辦理）,花壇鄉,非營利,12,104712,0,8726,0
彰化縣北斗鎮北斗國民小學附設幼兒園,北斗鎮,公立,8,31700,0,3963,0
彰化縣北斗鎮立幼兒園,北斗鎮,公立,10,37800,8000,3780,800
彰化縣和美鎮和仁國民小學附設幼兒園,和美鎮,公立,8,31880,0,3985,0
彰化縣和美鎮和美國民小學附設幼兒園,和美鎮,公立,8,31880,0,3985,0
彰化縣和美鎮培英國民小學附設幼兒園,和美鎮,公立,8,32826,0,4103,0
彰化縣和美鎮大嘉國民小學附設幼兒園,和美鎮,公立,8,31880,200,3985,25
彰化縣和美鎮立幼兒園,和美鎮,公立,12,45724,0,3810,0
彰化縣和美鎮立幼兒園柑井分班,和美鎮,公立,12,45724,0,3810,0
彰化縣和美鎮立幼兒園源埤分班,和美鎮,公立,12,45724,0,3810,0
彰化縣和美鎮立幼兒園犁盛分班,和美鎮,公立,12,45724,0,3810,0
彰化縣員林市僑信國民小學附設幼兒園,員林市,公立,8,31880,0,3985,0
彰化縣員林市員東國民小學附設幼兒園,員林市,公立,8,31880,0,3985,0
彰化縣員林市立幼兒園,員林市,公立,10,49000,7582,4900,758
彰化縣員林市立幼兒園中央分班,員林市,公立,10,38150,3791,3815,379
彰化縣員林市立幼兒園大埔分班,員林市,公立,10,38150,3791,3815,379
彰化縣員林市立幼兒園東北分班,員林市,公立,10,38150,3791,3815,379
彰化縣員林市立幼兒園浮圳分班,員林市,公立,10,38150,3791,3815,379
彰化縣員林市立幼兒園西東分班,員林市,公立,10,38150,3791,3815,379
彰化縣員林市立幼兒園鎮興分班,員林市,公立,10,38150,3791,3815,379
彰化縣員林市青山國民小學附設幼兒園,員林市,公立,8,31880,0,3985,0
彰化縣員林市靜修國民小學附設幼兒園,員林市,公立,10,31880,5000,3188,500
彰化縣員林市饒明國民小學附設幼兒園,員林市,公立,8,31880,200,3985,25
彰化縣國聖非營利幼兒園（委託社團法人彰化縣全方位教育協會辦理）,彰化市,非營利,12,105096,0,8758,0
彰化縣埔心鄉立幼兒園,埔心鄉,公立,10,48600,0,4860,0
彰化縣埔鹽鄉好修國民小學附設幼兒園,埔鹽鄉,公立,8,30350,0,3794,0
彰化縣埔鹽鄉立幼兒園,埔鹽鄉,公立,10,41700,0,4170,0
彰化縣埤頭鄉合興國民小學附設幼兒園,埤頭鄉,公立,8,31880,0,3985,0
彰化縣埤頭鄉立幼兒園,埤頭鄉,公立,10,44550,0,4455,0
彰化縣埤頭非營利幼兒園（委託社團法人彰化縣芸生學前教保學會辦理）,埤頭鄉,非營利,12,124164,0,10347,0
彰化縣大城鄉大城國民小學附設幼兒園,大城鄉,公立,8,29000,0,3625,0
彰化縣大城鄉立幼兒園,大城鄉,公立,10,33500,0,3350,0
彰化縣大城鄉立幼兒園山腳分班,大城鄉,公立,10,33500,0,3350,0
彰化縣大城鄉立幼兒園潭墘分班,大城鄉,公立,10,33500,0,3350,0
彰化縣大城鄉立幼兒園菜寮分班,大城鄉,公立,10,33500,0,3350,0
彰化縣大城鄉西港國民小學附設幼兒園,大城鄉,公立,8,28904,0,3613,0
彰化縣大村鄉立幼兒園,大村鄉,公立,10,37800,3000,3780,300
彰化縣大村鄉立幼兒園加錫分班,大村鄉,公立,10,37800,3000,3780,300
彰化縣大村鄉立幼兒園大村分班,大村鄉,公立,10,37800,3000,3780,300
彰化縣大村鄉立幼兒園平和分班,大村鄉,公立,10,37800,3000,3780,300
