point,area,type,months,total1,total2,monthly1,monthly2,total3
澎湖縣湖西鄉立幼兒園,湖西鄉,公立,10.5,32900,0,3133,0,32900
澎湖縣白沙鄉吉貝國民小學附設幼兒園,白沙鄉,公立,9,33872,200,3764,22,33872
澎湖縣白沙鄉立幼兒園,白沙鄉,公立,10,32200,0,3220,0,32200
澎湖縣白沙鄉立幼兒園吉貝分班,白沙鄉,公立,10,32200,0,3220,0,32200
澎湖縣私立明圓幼兒園,馬公市,準公共化,12,136908,0,11409,0,136908
澎湖縣私立明穗幼兒園,馬公市,私立,12,128000,36000,10667,3000,128000
澎湖縣私立耕讀幼兒園,馬公市,準公共化,12,108312,0,9026,0,108312
澎湖縣私立至美幼兒園,馬公市,私立,12,130400,36000,10867,3000,130400
澎湖縣私立馬幼幼兒園,馬公市,準公共化,12,120000,0,10000,0,120000
澎湖縣西嶼鄉立幼兒園竹灣分班,西嶼鄉,公立,10,27800,0,2780,0,27800
澎湖縣馬公市立幼兒園,馬公市,公立,11,39850,7700,3623,700,39850
澎湖縣馬公市立幼兒園東衛分班,馬公市,公立,11,39850,7700,3623,700,39850
澎湖縣馬公市立幼兒園澎南分班,馬公市,公立,11,39850,7700,3623,700,39850
