point,area,type,months,total1,total2,monthly1,monthly2,total3
台灣積體電路製造股份有限公司職工福利委員會附設新竹市私立台積電幼兒園,新竹市,私立,12,162850,25200,13571,2100,162850
國立新竹科學園區實驗高級中等學校附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
國立清華大學附設實驗國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
康橋學校財團法人新竹市康橋國民中小學附設新竹市私立康橋幼兒園,新竹市,私立,9,333200,0,37022,0,333200
新竹市北區北門國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市北區南寮國民小學附設幼兒園,新竹市,公立,9.6,35796,200,3729,21,35796
新竹市北區民富國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市北區舊社國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市北區西門國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市北區載熙國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市東區三民國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市東區建功國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市東區新竹國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市東區東園國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市東區東門國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市東區水源國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市東區竹蓮國民小學附設幼兒園,新竹市,公立,9.6,35796,200,3729,21,35796
新竹市東區關東國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市東區青草湖國民小學附設幼兒園,新竹市,公立,9.6,35796,200,3729,21,35796
新竹市東區龍山國民小學附設幼兒園,新竹市,公立,9.6,35796,0,3729,0,35796
新竹市私立丹尼爾幼兒園,新竹市,私立,12,144000,42000,12000,3500,144000
新竹市私立丹尼爾關東幼兒園,新竹市,私立,12,144000,42000,12000,3500,144000
新竹市私立丹帝萊恩幼兒園,新竹市,準公共化,12,135400,0,11283,0,135400
新竹市私立但以理幼兒園,新竹市,準公共化,12,158580,30000,13215,2500,158580
新竹市私立何嘉仁東園幼兒園,新竹市,私立,12,200060,24000,16672,2000,200060
新竹市私立佳佳大自然幼兒園,新竹市,準公共化,12,139800,24000,11650,2000,139800
新竹市私立信義幼兒園,新竹市,私立,12,96300,0,8025,0,96300
新竹市私立傑恩幼兒園,新竹市,私立,12,135600,100800,11300,8400,135600
新竹市私立光復高級中學附設實驗幼兒園,新竹市,私立,12,140142,38400,11679,3200,140142
新竹市私立加米幼兒園,新竹市,私立,10,90000,50000,9000,5000,90000
新竹市私立勁寶兒向日葵幼兒園,新竹市,私立,12,192000,12000,16000,1000,192000
新竹市私立南瓜田國際幼兒園,新竹市,私立,10,208000,0,20800,0,208000
新竹市私立南瓜田幼兒園,新竹市,私立,10,208000,12000,20800,1200,208000
新竹市私立博玉幼兒園,新竹市,私立,12,152000,0,12667,0,152000
