point,area,type,months,total1,total2,monthly1,monthly2,total3
世平興業股份有限公司附設臺北市私立員工子女幼兒園,南港區,私立,12,243600,12000,20300,1000,243600
北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,萬華區,準公共化,12,161640,30240,13470,2520,161640
國立臺灣大學醫學院附設醫院附設臺北市私立員工子女幼兒園,中正區,私立,12,138200,30400,11517,2533,138200
恕德學校財團法人附設臺北市私立恕德幼兒園,內湖區,私立,12,237160,33600,19763,2800,237160
有限責任臺北市立五常國民中學員生消費合作社附設臺北市私立員工子女幼兒園,中山區,準公共化,12,173160,0,14430,0,173160
法務部附設臺北市私立員工子女幼兒園,中正區,私立,10,145000,10000,14500,1000,145000
育達學校財團法人臺北市私立普林思頓高級中等學校附設臺北市私立點點幼兒園,松山區,私立,12,198000,0,16500,0,198000
育達學校財團法人臺北市私立育達高級中等學校附設臺北市私立點點幼兒園,松山區,私立,12,198000,0,16500,0,198000
臺北市中山區中正國民小學附設幼兒園,中山區,公立,9,43176,30240,4797,3360,43176
臺北市中山區五常國民小學附設幼兒園,中山區,公立,9,43176,28240,4797,3138,43176
臺北市中山區吉林國民小學附設幼兒園,中山區,公立,9,43176,24240,4797,2693,43176
臺北市中山區大直國民小學附設幼兒園,中山區,公立,9,43176,22868,4797,2541,43176
臺北市中山區濱江國民小學附設幼兒園,中山區,公立,9,43176,34240,4797,3804,43176
臺北市中山區長安國民小學附設幼兒園,中山區,公立,9,43176,34240,4797,3804,43176
臺北市中正區螢橋國民小學附設幼兒園,中正區,公立,9,43176,30240,4797,3360,43176
臺北市信義區三興國民小學附設幼兒園,信義區,公立,9,43176,36240,4797,4027,43176
臺北市信義區光復國民小學附設幼兒園,信義區,公立,9,43176,30240,4797,3360,43176
臺北市信義區吳興國民小學附設幼兒園,信義區,公立,9,43176,33840,4797,3760,43176
臺北市信義區永吉國民小學附設幼兒園,信義區,公立,9,43176,33840,4797,3760,43176
臺北市信義區永春國民小學附設幼兒園,信義區,公立,9,43176,240,4797,27,43176
臺北市信義區福德國民小學附設幼兒園,信義區,公立,9,43176,18240,4797,2027,43176
臺北市信義區興雅國民小學附設幼兒園,信義區,公立,9,43176,30240,4797,3360,43176
臺北市信義區雙永國民小學附設幼兒園,信義區,公立,9,43176,33840,4797,3760,43176
臺北市內湖區南湖國民小學附設幼兒園,內湖區,公立,9,43176,24240,4797,2693,43176
臺北市內湖區大湖國民小學附設幼兒園,內湖區,公立,9,43176,34240,4797,3804,43176
臺北市內湖區康寧國民小學附設幼兒園,內湖區,公立,9,43176,24240,4797,2693,43176
臺北市內湖區文湖國民小學附設幼兒園,內湖區,公立,9,43176,28673,4797,3186,43176
臺北市內湖區新湖國民小學附設幼兒園,內湖區,公立,9,43176,30240,4797,3360,43176
臺北市內湖區東湖國民小學附設幼兒園,內湖區,公立,9,43176,16240,4797,1804,43176
臺北市內湖區碧湖國民小學附設幼兒園,內湖區,公立,9,43176,240,4797,27,43176
