鄉鎮市區,學校,類型,年齡,學期,班別,109全學期總收費,110全學期總收費
七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,5,上學期,半日班,11470,10570
七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,5,上學期,全日班,14900,14000
七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,5,下學期,半日班,11470,10570
七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,5,下學期,全日班,14900,14000
七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,4,上學期,半日班,11470,10570
七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,4,上學期,全日班,14900,14000
七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,4,下學期,半日班,11470,10570
七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,4,下學期,全日班,14900,14000
七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,3,上學期,半日班,11470,10570
七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,3,上學期,全日班,14900,14000
七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,3,下學期,半日班,11470,10570
七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,3,下學期,全日班,14900,14000
仁愛區,基隆市信義區信義國民小學附設幼兒園,公立,4,上學期,半日班,7555,10570
仁愛區,基隆市信義區信義國民小學附設幼兒園,公立,4,下學期,半日班,7555,10570
仁愛區,基隆市信義區信義國民小學附設幼兒園,公立,3,上學期,半日班,7555,10570
仁愛區,基隆市信義區信義國民小學附設幼兒園,公立,3,下學期,半日班,7555,10570
信義區,基隆市信義區東信國民小學附設幼兒園,公立,5,上學期,半日班,11465,10570
信義區,基隆市信義區東信國民小學附設幼兒園,公立,5,上學期,全日班,14895,14000
信義區,基隆市信義區東信國民小學附設幼兒園,公立,5,下學期,半日班,11465,10570
信義區,基隆市信義區東信國民小學附設幼兒園,公立,5,下學期,全日班,14895,14000
信義區,基隆市信義區東信國民小學附設幼兒園,公立,4,上學期,半日班,11465,10570
信義區,基隆市信義區東信國民小學附設幼兒園,公立,4,上學期,全日班,14895,14000
信義區,基隆市信義區東信國民小學附設幼兒園,公立,4,下學期,半日班,11465,10570
信義區,基隆市信義區東信國民小學附設幼兒園,公立,4,下學期,全日班,14895,14000
信義區,基隆市信義區東信國民小學附設幼兒園,公立,3,上學期,半日班,11465,10570
信義區,基隆市信義區東信國民小學附設幼兒園,公立,3,上學期,全日班,14895,14000
信義區,基隆市信義區東信國民小學附設幼兒園,公立,3,下學期,半日班,11465,10570
信義區,基隆市信義區東信國民小學附設幼兒園,公立,3,下學期,全日班,14895,14000
信義區,基隆市信義區東光國民小學附設幼兒園,公立,5,上學期,半日班,11470,10570
信義區,基隆市信義區東光國民小學附設幼兒園,公立,5,上學期,全日班,14900,14000
信義區,基隆市信義區東光國民小學附設幼兒園,公立,5,下學期,半日班,11470,10570
信義區,基隆市信義區東光國民小學附設幼兒園,公立,5,下學期,全日班,14900,14000
信義區,基隆市信義區東光國民小學附設幼兒園,公立,4,上學期,半日班,11470,10570
信義區,基隆市信義區東光國民小學附設幼兒園,公立,4,上學期,全日班,14900,14000
信義區,基隆市信義區東光國民小學附設幼兒園,公立,4,下學期,半日班,11470,10570
信義區,基隆市信義區東光國民小學附設幼兒園,公立,4,下學期,全日班,14900,14000
信義區,基隆市信義區東光國民小學附設幼兒園,公立,3,上學期,半日班,11470,10570
信義區,基隆市信義區東光國民小學附設幼兒園,公立,3,上學期,全日班,14900,14000
信義區,基隆市信義區東光國民小學附設幼兒園,公立,3,下學期,半日班,11470,10570
信義區,基隆市信義區東光國民小學附設幼兒園,公立,3,下學期,全日班,14900,14000
信義區,基隆市信義區東光國民小學附設幼兒園,公立,2,上學期,半日班,11470,10570
信義區,基隆市信義區東光國民小學附設幼兒園,公立,2,上學期,全日班,14900,14000
信義區,基隆市信義區東光國民小學附設幼兒園,公立,2,下學期,半日班,11470,10570
信義區,基隆市信義區東光國民小學附設幼兒園,公立,2,下學期,全日班,14900,14000
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,5,上學期,半日班,11470,10570
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,5,上學期,全日班,14900,14000
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,5,下學期,半日班,11470,10570
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,5,下學期,全日班,14900,14000
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,4,上學期,半日班,11470,10570
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,4,上學期,全日班,14900,14000
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,4,下學期,半日班,11470,10570
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,4,下學期,全日班,14900,14000
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,3,上學期,半日班,11470,10570
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,3,上學期,全日班,14900,14000
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,3,下學期,半日班,11470,10570
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,3,下學期,全日班,14900,14000
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,2,上學期,半日班,11470,10570
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,2,上學期,全日班,14900,14000
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,2,下學期,半日班,11470,10570
暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,2,下學期,全日班,14900,14000
信義區,社團法人新竹市教保人員協會附設基隆市私立信義非營利幼兒園(基隆市政府委託辦理),非營利,5,上學期,全日班,46632,32640
信義區,社團法人新竹市教保人員協會附設基隆市私立信義非營利幼兒園(基隆市政府委託辦理),非營利,5,下學期,全日班,46632,32640
信義區,社團法人新竹市教保人員協會附設基隆市私立信義非營利幼兒園(基隆市政府委託辦理),非營利,4,上學期,全日班,46632,32640
信義區,社團法人新竹市教保人員協會附設基隆市私立信義非營利幼兒園(基隆市政府委託辦理),非營利,4,下學期,全日班,46632,32640
信義區,社團法人新竹市教保人員協會附設基隆市私立信義非營利幼兒園(基隆市政府委託辦理),非營利,3,上學期,全日班,46632,32640
信義區,社團法人新竹市教保人員協會附設基隆市私立信義非營利幼兒園(基隆市政府委託辦理),非營利,3,下學期,全日班,46632,32640
信義區,社團法人新竹市教保人員協會附設基隆市私立信義非營利幼兒園(基隆市政府委託辦理),非營利,2,上學期,全日班,49956,34974
信義區,社團法人新竹市教保人員協會附設基隆市私立信義非營利幼兒園(基隆市政府委託辦理),非營利,2,下學期,全日班,49956,34974
