鄉鎮市區,學校,類型,年齡,學期,班別,109全學期總收費,110全學期總收費
內湖區,社團法人臺北市幼托協會附設臺北市私立星雲非營利幼兒園（臺北市政府委託辦理）,非營利,2,上學期,全日班,58224,58230
內湖區,社團法人臺北市幼托協會附設臺北市私立星雲非營利幼兒園（臺北市政府委託辦理）,非營利,2,下學期,全日班,58224,58230
中正區,臺北市中正區東門國民小學附設幼兒園,公立,5,上學期,半日班,12980,2745
中正區,臺北市中正區東門國民小學附設幼兒園,公立,5,上學期,全日班,21588,9045
中正區,臺北市中正區東門國民小學附設幼兒園,公立,5,下學期,半日班,12980,2745
中正區,臺北市中正區東門國民小學附設幼兒園,公立,5,下學期,全日班,21588,9045
中正區,臺北市中正區東門國民小學附設幼兒園,公立,4,上學期,半日班,12980,7830
中正區,臺北市中正區東門國民小學附設幼兒園,公立,4,上學期,全日班,21588,14588
中正區,臺北市中正區東門國民小學附設幼兒園,公立,4,下學期,半日班,12980,7830
中正區,臺北市中正區東門國民小學附設幼兒園,公立,4,下學期,全日班,21588,14588
中正區,臺北市中正區東門國民小學附設幼兒園,公立,3,上學期,半日班,12980,7830
中正區,臺北市中正區東門國民小學附設幼兒園,公立,3,上學期,全日班,21588,14588
中正區,臺北市中正區東門國民小學附設幼兒園,公立,3,下學期,半日班,12980,7830
中正區,臺北市中正區東門國民小學附設幼兒園,公立,3,下學期,全日班,21588,14588
信義區,臺北市信義區永春國民小學附設幼兒園,公立,4,上學期,半日班,12980,16940
信義區,臺北市信義區永春國民小學附設幼兒園,公立,4,下學期,半日班,12980,16940
信義區,臺北市信義區永春國民小學附設幼兒園,公立,3,上學期,半日班,12980,16940
信義區,臺北市信義區永春國民小學附設幼兒園,公立,3,下學期,半日班,12980,16940
信義區,臺北市信義區永春國民小學附設幼兒園,公立,2,上學期,半日班,12980,16940
信義區,臺北市信義區永春國民小學附設幼兒園,公立,2,下學期,半日班,12980,16940
信義區,臺北市政府附設臺北市私立市政大樓員工子女幼兒園,私立,4,上學期,全日班,49800,56004
信義區,臺北市政府附設臺北市私立市政大樓員工子女幼兒園,私立,4,下學期,全日班,49800,56004
信義區,臺北市政府附設臺北市私立市政大樓員工子女幼兒園,私立,3,上學期,全日班,49800,56004
信義區,臺北市政府附設臺北市私立市政大樓員工子女幼兒園,私立,3,下學期,全日班,49800,56004
信義區,臺北市政府附設臺北市私立市政大樓員工子女幼兒園,私立,2,上學期,全日班,49800,60570
信義區,臺北市政府附設臺北市私立市政大樓員工子女幼兒園,私立,2,下學期,全日班,49800,60570
士林區,臺北市私立何嘉仁幼兒園,私立,4,上學期,全日班,97880,99000
士林區,臺北市私立何嘉仁幼兒園,私立,4,下學期,全日班,97880,99000
士林區,臺北市私立何嘉仁幼兒園,私立,3,上學期,全日班,97880,99000
士林區,臺北市私立何嘉仁幼兒園,私立,3,下學期,全日班,97880,99000
內湖區,臺北市私立多元智慧幼兒園,私立,4,上學期,全日班,101500,107496
內湖區,臺北市私立多元智慧幼兒園,私立,4,下學期,全日班,101500,107496
內湖區,臺北市私立多元智慧幼兒園,私立,3,上學期,全日班,101500,107496
內湖區,臺北市私立多元智慧幼兒園,私立,3,下學期,全日班,101500,107496
士林區,臺北市私立多多種子幼兒園,私立,4,上學期,全日班,63000,72000
士林區,臺北市私立多多種子幼兒園,私立,4,下學期,全日班,63000,72000
士林區,臺北市私立多多種子幼兒園,私立,3,上學期,全日班,63000,72000
士林區,臺北市私立多多種子幼兒園,私立,3,下學期,全日班,63000,72000
士林區,臺北市私立好來幼兒園,私立,4,上學期,全日班,81000,96000
士林區,臺北市私立好來幼兒園,私立,4,下學期,全日班,81000,96000
內湖區,臺北市私立小荳荳幼兒園,私立,4,上學期,全日班,53100,156996
內湖區,臺北市私立小荳荳幼兒園,私立,4,下學期,全日班,53100,156996
內湖區,臺北市私立小荳荳幼兒園,私立,3,上學期,全日班,53100,156996
內湖區,臺北市私立小荳荳幼兒園,私立,3,下學期,全日班,53100,156996
內湖區,臺北市私立小荳荳幼兒園,私立,2,上學期,全日班,53100,156996
內湖區,臺北市私立小荳荳幼兒園,私立,2,下學期,全日班,53100,156996
大安區,臺北市私立巧而園幼兒園,私立,4,上學期,全日班,71400,132000
大安區,臺北市私立巧而園幼兒園,私立,4,下學期,全日班,71400,132000
大安區,臺北市私立巧而園幼兒園,私立,3,上學期,全日班,71400,132000
大安區,臺北市私立巧而園幼兒園,私立,3,下學期,全日班,71400,132000
大安區,臺北市私立巧而園幼兒園,私立,2,上學期,全日班,71400,132000
大安區,臺北市私立巧而園幼兒園,私立,2,下學期,全日班,71400,132000
萬華區,臺北市私立慈愛幼兒園,私立,5,上學期,全日班,44762,41000
萬華區,臺北市私立慈愛幼兒園,私立,5,下學期,全日班,44762,41000
萬華區,臺北市私立慈愛幼兒園,私立,4,上學期,全日班,50762,78000
萬華區,臺北市私立慈愛幼兒園,私立,4,下學期,全日班,50762,78000
萬華區,臺北市私立慈愛幼兒園,私立,3,上學期,全日班,67762,78000
萬華區,臺北市私立慈愛幼兒園,私立,3,下學期,全日班,67762,78000
萬華區,臺北市私立慈愛幼兒園,私立,2,上學期,全日班,67762,78000
萬華區,臺北市私立慈愛幼兒園,私立,2,下學期,全日班,67762,78000
南港區,臺北市私立新莒光幼兒園,私立,4,上學期,全日班,60198,67992
南港區,臺北市私立新莒光幼兒園,私立,4,下學期,全日班,60198,67992
南港區,臺北市私立新莒光幼兒園,私立,3,上學期,全日班,65600,67992
南港區,臺北市私立新莒光幼兒園,私立,3,下學期,全日班,65600,67992
士林區,臺北市私立日晴幼兒園,私立,4,上學期,半日班,35600,49800
士林區,臺北市私立日晴幼兒園,私立,4,上學期,全日班,56100,72000
士林區,臺北市私立日晴幼兒園,私立,4,下學期,半日班,35600,49800
士林區,臺北市私立日晴幼兒園,私立,4,下學期,全日班,56100,72000
士林區,臺北市私立日晴幼兒園,私立,3,上學期,半日班,35600,49800
士林區,臺北市私立日晴幼兒園,私立,3,上學期,全日班,56100,72000
士林區,臺北市私立日晴幼兒園,私立,3,下學期,半日班,35600,49800
士林區,臺北市私立日晴幼兒園,私立,3,下學期,全日班,56100,72000
士林區,臺北市私立日晴幼兒園,私立,2,上學期,半日班,35600,49800
士林區,臺北市私立日晴幼兒園,私立,2,上學期,全日班,56100,72000
